,name,datetime,daysOfWeek,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"seattle,WA",2023-02-05,Sunday,48.0,42.5,45.7,47.1,40.1,44.3,42.5,88.8,0.051,100.0,25.0,rain,0.0,0.0,8.1,7.8,167.0,1011.7,95.2,9.2,46.7,4.0,1,10,2023-02-05T07:30:33,2023-02-05T17:16:47,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"AT200,KSEA,KBFI,F0821,F4052,KRNT"
1,"seattle,WA",2023-02-06,Monday,49.0,42.0,45.8,43.4,36.0,39.8,43.3,91.3,0.079,78.0,20.83,rain,0.0,0.0,28.9,20.8,181.2,1027.5,83.4,9.3,41.2,3.4,2,10,2023-02-06T07:29:07,2023-02-06T17:18:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
2,"seattle,WA",2023-02-07,Tuesday,49.9,42.7,46.9,43.1,35.0,39.3,43.5,88.0,0.595,98.0,41.67,rain,0.0,0.0,36.9,26.4,193.1,1020.2,92.1,7.6,52.7,4.7,2,10,2023-02-07T07:27:40,2023-02-07T17:19:57,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
3,"seattle,WA",2023-02-08,Wednesday,49.0,39.7,43.4,45.5,33.5,38.2,38.9,84.8,0.067,65.0,16.67,rain,0.0,0.0,21.0,15.0,187.5,1029.5,68.6,10.3,103.9,9.2,4,10,2023-02-08T07:26:10,2023-02-08T17:21:32,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
4,"seattle,WA",2023-02-09,Thursday,51.9,38.2,43.9,51.9,34.8,40.5,36.0,74.4,0.004,49.0,4.17,rain,0.0,0.0,15.5,10.3,127.9,1021.6,80.5,14.5,50.8,3.9,2,10,2023-02-09T07:24:39,2023-02-09T17:23:07,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
5,"seattle,WA",2023-02-10,Friday,47.4,41.3,44.0,42.5,34.6,38.4,40.2,86.5,0.119,65.0,29.17,rain,0.0,0.0,18.3,12.3,173.3,1018.0,82.6,13.2,16.5,1.7,1,10,2023-02-10T07:23:07,2023-02-10T17:24:42,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
6,"seattle,WA",2023-02-11,Saturday,47.4,41.3,43.6,43.5,36.3,39.1,41.5,92.4,0.075,42.0,12.5,rain,0.0,0.0,13.4,8.3,171.1,1023.5,78.7,13.4,5.6,0.6,0,10,2023-02-11T07:21:33,2023-02-11T17:26:17,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"seattle,WA",2023-02-12,Sunday,48.6,40.2,43.9,44.8,35.9,39.4,40.9,89.4,0.071,35.0,16.67,rain,0.0,0.0,16.3,10.4,167.2,1021.2,79.3,14.9,13.1,0.9,1,10,2023-02-12T07:19:58,2023-02-12T17:27:51,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
8,"seattle,WA",2023-02-13,Monday,49.7,37.6,44.1,44.9,33.7,38.8,39.4,84.0,0.111,58.0,16.67,rain,0.0,0.0,24.8,14.1,201.9,1015.0,71.1,14.5,79.8,7.0,3,10,2023-02-13T07:18:21,2023-02-13T17:29:26,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,
9,"seattle,WA",2023-02-14,Tuesday,42.9,33.3,37.4,42.9,30.9,34.3,31.2,78.8,0.092,38.1,29.17,"rain,snow",0.0,0.0,15.0,6.9,181.4,1013.8,70.9,12.9,104.0,8.7,4,10,2023-02-14T07:16:43,2023-02-14T17:31:00,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
10,"seattle,WA",2023-02-15,Wednesday,40.7,31.4,35.8,39.0,31.4,34.7,29.5,79.3,0.127,14.3,12.5,snow,0.3,0.1,11.4,4.9,37.8,1025.0,66.5,9.6,128.3,11.2,5,10,2023-02-15T07:15:04,2023-02-15T17:32:35,0.85,Partially cloudy,Partly cloudy throughout the day.,snow,
11,"seattle,WA",2023-02-16,Thursday,42.0,29.7,35.9,39.2,26.6,33.6,29.5,77.8,0.008,19.0,8.33,rain,0.0,0.0,9.8,4.7,169.6,1031.4,87.6,15.0,70.3,5.7,3,10,2023-02-16T07:13:23,2023-02-16T17:34:09,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
12,"seattle,WA",2023-02-17,Friday,42.7,38.5,40.8,37.8,35.4,36.6,39.2,93.8,0.212,19.0,29.17,rain,0.0,0.0,23.7,10.1,182.6,1027.0,100.0,13.7,8.0,0.6,0,10,2023-02-17T07:11:41,2023-02-17T17:35:43,0.95,Overcast,Cloudy skies throughout the day.,cloudy,
13,"seattle,WA",2023-02-18,Saturday,45.2,40.0,43.0,38.8,31.2,36.5,39.6,88.0,0.107,23.8,25.0,rain,0.0,0.0,36.5,17.2,204.2,1020.6,100.0,13.5,46.1,4.2,2,10,2023-02-18T07:09:58,2023-02-18T17:37:16,0.98,Overcast,Cloudy skies throughout the day.,cloudy,
14,"seattle,WA",2023-02-19,Sunday,40.5,25.7,33.9,36.2,17.2,27.9,29.5,83.9,0.606,33.3,29.17,"rain,snow",0.7,0.2,30.9,14.8,297.4,1012.0,81.4,9.4,86.1,7.5,4,10,2023-02-19T07:08:14,2023-02-19T17:38:50,1.0,Partially cloudy,Partly cloudy throughout the day.,snow,
